sentence,quarter,topic,topic_label
I mean I think thats the key point,2022 Q2,0,Growth & Spending
This thing is not static,2022 Q2,-1,General
And we continue to adjust it and modify it,2022 Q2,-1,General
"Jeff Campbell -- Chief Financial Officer Steve, the other thing I would add, and Im going to quote you, is we run the company for the long term",2022 Q2,1,Executive & Financial
We make these decisions on a through the cycle basis,2022 Q2,-1,General
There will be a recession at some point,2022 Q2,0,Growth & Spending
I dont know when,2022 Q2,-1,General
But the thing about recessions is theyre always followed by a recovery,2022 Q2,0,Growth & Spending
And were running the company to achieve the highest possible sustainable level of long-term growth,2022 Q2,-1,General
And we think that the process we have and the analytics we have for bringing people into the franchise are very consistent with that,2022 Q2,-1,General
Operator The next question is coming from Chris Donat of Piper Sandler,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Chris Donat -- Piper Sandler -- Analyst Good morning,2022 Q2,1,Executive & Financial
Thanks for taking my question,2022 Q2,2,Customer & Cards
I wanted to dig -- try to dig a little deeper on the travel and entertainment recovery and the Slide 23 you had and revisit the question of a possible pull forward,2022 Q2,0,Growth & Spending
"I heard the commentary around bookings, and so that seems good for visibility for airlines and lodging",2022 Q2,0,Growth & Spending
"What Im wondering about is, should there be any reason to be concerned around restaurant spending, which has been really strong? And is restaurant spending highly correlated with lodging and airlines so maybe we dont need to worry about it? Or just if youre seeing anything that could be a cause for concern and maybe future pullback in restaurants? Steve Squeri -- Chairman and Chief Executive Officer The only thing I would say is that if restaurant spending is really highly correlated with lodging and airlines, youre going to expect it to go up",2022 Q2,0,Growth & Spending
"But I think, look, I mean, anybody thats been to a restaurant, prices are a little bit higher because theyre -- they got wages and they got fluid costs and so forth",2022 Q2,0,Growth & Spending
"But look, from my perspective, restaurants really -- sort of a lot of them change their business models during the pandemic because restaurants that werent doing takeout do take out",2022 Q2,0,Growth & Spending
"And so people are eating out a lot more, and theyre spending more time at restaurants and ordering for restaurants",2022 Q2,0,Growth & Spending
"So no, I really dont think its highly correlated at all",2022 Q2,-1,General
"And in fact, if you took restaurant out, and we just said travel, and travel being defined as car rental, lodging and air, were not back yet, right? Whats pulling TE over the finish line here to go past that 2019 is truly restaurants",2022 Q2,0,Growth & Spending
"So if anything, as people travel more, you might see more restaurant spending",2022 Q2,0,Growth & Spending
"And the other side of that is, well, you wont see more restaurant spending because now lead to different locations",2022 Q2,0,Growth & Spending
So I dont think its -- I dont think a pullback here will really hurt restaurants all that much,2022 Q2,-1,General
Operator The next question is coming from Rick Shane of J.P,2022 Q2,1,Executive & Financial
Morgan,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Rick Shane -- J.P,2022 Q2,1,Executive & Financial
"Morgan -- Analyst Thanks, guys, for taking my question",2022 Q2,1,Executive & Financial
"When I think about the numbers, two things stand out",2022 Q2,0,Growth & Spending
One is the loan growth and the other is obviously the strong penetration for millennial and Gen Z card growth,2022 Q2,0,Growth & Spending
"I am curious if -- as millennials and Gen Z customers are taking cards, if those are being delivered with additional features enabled on borrow? Or are there behavioral factors that are causing your younger demographic to borrow more? Jeff Campbell -- Chief Financial Officer Well, maybe Ill start, Steve",2022 Q2,0,Growth & Spending
"So first, we have moved over the last couple of years, Rick, to add to the majority of our charge products a pay over time capability",2022 Q2,-1,General
"For existing card members, that phases in in a variety of ways",2022 Q2,0,Growth & Spending
"For new card members, that capability is on as it is as they get the card",2022 Q2,0,Growth & Spending
So I do think that has some impact on our results,2022 Q2,-1,General
"There also is a demographic feature, as I talked about earlier",2022 Q2,0,Growth & Spending
"If you look at who were bringing into the franchise now, and there is a skew toward the millennials and Gen Zs, they are higher spending, higher credit quality",2022 Q2,0,Growth & Spending
And there is a propensity to carry balances that is a little higher than what we see in the older demographic,2022 Q2,-1,General
Steve Squeri -- Chairman and Chief Executive Officer Yes,2022 Q2,1,Executive & Financial
"And they also tend to use our pay and plan it feature a little bit more, which is -- and Ill use these words, buy now, pay later, but on the back end as opposed to a point of sale",2022 Q2,-1,General
"I mean, they can go on to their statement and decide, look, for this particular charge, Im going to pay it in six installments, and Im going to pay it at 100 a month",2022 Q2,0,Growth & Spending
But Im going to pay the rest of my balance in full,2022 Q2,-1,General
"So I think that ability of looking at your statement, deciding which things you might want to pay in an installment, deciding which thing you might want to use Pay with Points to pay, deciding which thing you may want to revolve and then deciding which things you want to pay in full is a pretty good feature of the product",2022 Q2,-1,General
"And so when you look at meeting somebodys entire payment needs, that kind of does it in one-stop shopping",2022 Q2,-1,General
Operator The next question is coming from Mihir Bhatia of Bank of America,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
"Mihir Bhatia -- Bank of America Merrill Lynch -- Analyst Good morning, and thank you for taking my questions",2022 Q2,1,Executive & Financial
"I wanted to ask a little bit about just longer term, right? I mean I appreciate your comments about making investments now while the opportunity is available",2022 Q2,0,Growth & Spending
"But I was wondering just longer term, for example, in 2023, youve guided to longer -- higher than longer-term revenue growth in 2023",2022 Q2,0,Growth & Spending
"So will that also translate in higher than long-term EPS growth or higher than long-term PPNR growth? Or is there just so much white space available for you, just the amount of growth opportunity that 2023 could also be another big investment year? Just trying to understand how you balance that, all this revenue upside you see versus the investment opportunities available to you",2022 Q2,-1,General
"Jeff Campbell -- Chief Financial Officer Well, I cant resist my start by pointing out that, yes, Steve and I talked a lot about the heavy investments that were making this year",2022 Q2,1,Executive & Financial
